#{"t_start": 1638800023.432998, "env_id": null}
r,l,t
-93.078735,1000,21.396149
-92.9569,1000,21.396149
-93.568275,1000,21.396149
-93.64994,1000,21.396149
-93.882935,1000,21.396149
-93.24239,1000,21.396149
-69.8992,1000,38.422983
-83.60584,1000,38.423984
-76.92248,1000,38.423984
-76.83338,1000,38.423984
-79.45141,1000,38.423984
-80.69431,1000,38.423984
-88.023186,1000,56.211989
-84.519424,1000,56.211989
-86.53125,1000,56.211989
-81.617004,1000,56.211989
-82.142204,1000,56.211989
-86.34739,1000,56.211989
-83.93506,1000,74.406937
-86.03278,1000,74.406937
-86.25356,1000,74.406937
-84.17652,1000,74.406937
-85.50653,1000,74.406937
-85.764404,1000,74.406937
-61.937157,1000,93.058699
-71.222374,1000,93.058699
-64.28524,1000,93.058699
-71.06041,1000,93.058699
-68.640625,1000,93.058699
-86.8845,1000,93.058699
-81.87238,1000,111.372821
-82.03522,1000,111.372821
-79.86512,1000,111.372821
-80.64449,1000,111.372821
-81.616974,1000,111.372821
-80.45538,1000,111.372821
-93.44177,1000,129.184833
-87.05416,1000,129.184833
-93.58889,1000,129.184833
-92.64622,1000,129.184833
-92.932014,1000,129.184833
-93.19643,1000,129.184833
-79.72901,1000,147.169881
-76.10856,1000,147.169881
-69.797935,1000,147.169881
-69.59387,1000,147.169881
-74.07338,1000,147.169881
-71.63051,1000,147.169881
-64.9116,1000,165.530016
-74.35827,1000,165.530016
-67.03238,1000,165.530016
-71.96195,1000,165.530016
-68.96489,1000,165.530016
-81.87238,1000,165.530016
-84.075714,1000,183.713109
-82.93446,1000,183.713109
-77.777176,1000,183.713109
-84.939026,1000,183.713109
-84.37428,1000,183.713109
-81.13142,1000,183.713109
-76.40055,1000,201.956297
-69.79815,1000,201.956297
-68.50341,1000,201.956297
-82.93441,1000,201.956297
-63.695885,1000,201.956297
-82.33147,1000,201.956297
-67.6254,1000,220.236413
-63.815445,1000,220.236413
-52.380608,1000,220.236413
-66.153465,1000,220.236413
-61.403004,1000,220.236413
-69.34822,1000,220.236413
-51.85157,1000,238.055425
-71.222466,1000,238.055425
-71.83035,1000,238.055425
-71.63057,1000,238.055425
-70.587585,1000,238.055425
-46.05776,1000,238.055425
-82.20573,1000,256.490327
-83.60585,1000,256.490327
-64.1573,1000,256.490327
-49.820675,1000,256.490327
-75.86145,1000,256.490327
-70.19821,1000,256.490327
-85.86498,1000,274.751437
-84.790146,1000,274.751437
-79.3807,1000,274.751437
-81.59433,1000,274.751437
-80.0657,1000,274.751437
-87.49923,1000,274.751437
-93.54753,1000,292.416415
-93.67003,1000,292.416415
-92.36558,1000,292.416415
-89.20779,1000,292.416415
-86.25345,1000,292.416415
-90.8528,1000,292.416415
-93.60937,1000,310.022379
-93.39849,1000,310.022379
-93.078735,1000,310.022379
-93.28774,1000,310.022379
-93.24239,1000,310.022379
-93.768616,1000,310.022379
-93.33248,1000,327.4373
-92.98161,1000,327.4373
-92.77894,1000,327.4373
-86.62122,1000,327.4373
-93.05471,1000,327.4373
-90.06538,1000,327.4373
-92.8563,1000,344.66418
-92.59175,1000,344.665179
-92.881714,1000,344.665179
-92.69988,1000,344.665179
-93.21949,1000,344.665179
-92.64622,1000,344.665179
-88.371254,1000,362.221132
-92.830696,1000,362.221132
-89.12959,1000,362.221132
-86.20618,1000,362.221132
-93.4202,1000,362.221132
-93.1026,1000,362.221132
-78.64708,1000,380.201039
-79.999374,1000,380.201039
-79.45138,1000,380.201039
-73.97711,1000,380.201039
-80.13182,1000,380.201039
-78.26028,1000,380.201039
-83.22079,1000,398.023052
-83.55193,1000,398.023052
-78.57082,1000,398.023052
-79.7291,1000,398.023052
-83.605865,1000,398.023052
-82.33147,1000,398.023052
-85.96407,1000,415.442974
-85.23902,1000,415.442974
-91.48854,1000,415.442974
-89.20779,1000,415.442974
-86.3473,1000,415.442974
-93.03051,1000,415.442974
-92.9569,1000,433.169968
-92.18667,1000,433.169968
-93.44177,1000,433.169968
-92.881714,1000,433.169968
-92.881714,1000,433.169968
-92.80491,1000,433.169968
-93.21949,1000,451.096009
-86.06199,1000,451.096009
-93.37663,1000,451.096009
-94.21879,1000,451.096009
-84.67357,1000,451.096009
-94.4281,1000,451.096009
-93.14983,1000,468.901018
-93.72955,1000,468.901018
-94.13403,1000,468.901018
-93.37663,1000,468.901018
-93.03051,1000,468.901018
-93.568275,1000,468.901018
-92.67315,1000,486.36695
-92.77894,1000,486.36695
-92.98161,1000,486.36695
-92.98161,1000,486.36695
-92.536476,1000,486.36695
-93.70983,1000,486.36695
-93.864174,1000,504.23948
-94.13403,1000,504.23948
-93.975044,1000,504.23948
-93.39849,1000,504.23948
-93.52665,1000,504.23948
-93.1026,1000,504.23948
-92.77894,1000,522.341554
-93.31019,1000,522.341554
-93.95684,1000,522.341554
-93.00614,1000,522.341554
-93.19643,1000,522.341554
-92.98161,1000,522.341554
-93.72955,1000,539.667455
-92.77894,1000,539.668456
-93.37663,1000,539.668456
-92.61909,1000,539.668456
-93.078735,1000,539.668456
-92.536476,1000,539.668456
-93.35463,1000,557.532479
-92.830696,1000,557.532479
-94.06442,1000,557.532479
-94.18518,1000,557.532479
-93.24239,1000,557.532479
-93.14983,1000,557.532479
-93.078735,1000,574.973405
-92.48036,1000,574.973405
-93.749146,1000,574.973405
-92.881714,1000,574.973405
-93.50564,1000,574.973405
-93.35463,1000,574.973405
-92.69988,1000,592.395327
-92.64622,1000,592.395327
-92.536476,1000,592.395327
-93.265144,1000,592.395327
-92.90695,1000,592.395327
-93.52665,1000,592.395327
-93.078735,1000,609.581197
-92.98161,1000,609.581197
-92.77894,1000,609.581197
-92.80491,1000,609.581197
-93.17321,1000,609.581197
-92.094025,1000,609.581197
-93.28774,1000,627.161155
-92.8563,1000,627.161155
-93.1263,1000,627.161155
-93.58889,1000,627.161155
-93.078735,1000,627.161155
-92.77894,1000,627.161155
-92.8563,1000,644.900149
-93.90158,1000,644.900149
-92.59175,1000,644.900149
-93.1263,1000,644.900149
-93.14983,1000,644.900149
-92.24722,1000,644.900149
-94.02899,1000,663.06924
-94.099434,1000,663.06924
-93.70983,1000,663.06924
-93.03051,1000,663.06924
-93.864174,1000,663.06924
-93.31019,1000,663.06924
-92.72643,1000,680.995276
-94.04676,1000,680.995276
-93.17321,1000,680.995276
-92.881714,1000,680.995276
-92.830696,1000,680.995276
-93.14983,1000,680.995276
-93.58889,1000,698.928314
-93.629715,1000,698.928314
-93.463196,1000,698.928314
-93.28774,1000,698.928314
-93.1263,1000,698.928314
-93.35463,1000,698.928314
-92.932014,1000,716.429255
-92.03104,1000,716.429255
-92.77894,1000,716.429255
-93.463196,1000,716.429255
-92.69988,1000,716.430254
-92.98161,1000,716.430254
-92.72643,1000,734.123239
-93.265144,1000,734.124239
-93.078735,1000,734.124239
-93.95684,1000,734.124239
-92.24722,1000,734.124239
-93.28774,1000,734.124239
-92.4234,1000,752.469369
-93.629715,1000,752.469369
-92.77894,1000,752.469369
-89.61859,1000,752.469369
-93.463196,1000,752.469369
-93.24239,1000,752.469369
-92.830696,1000,771.179582
-93.1026,1000,771.179582
-92.536476,1000,771.179582
-93.864174,1000,771.179582
-93.24239,1000,771.179582
-92.50852,1000,771.179582
-93.078735,1000,790.103845
-93.787964,1000,790.103845
-94.18518,1000,790.103845
-93.265144,1000,790.103845
-93.749146,1000,790.103845
-92.75278,1000,790.103845
-94.11678,1000,809.020102
-93.03051,1000,809.020102
-93.078735,1000,809.020102
-93.80719,1000,809.020102
-93.80719,1000,809.020102
-92.56422,1000,809.020102
-92.69988,1000,827.580281
-92.50852,1000,827.580281
-93.078735,1000,827.580281
-93.33248,1000,827.580281
-92.61909,1000,827.580281
-93.4202,1000,827.580281
-92.8563,1000,846.304497
-92.48036,1000,846.304497
-93.72955,1000,846.304497
-93.54753,1000,846.304497
-92.61909,1000,846.304497
-92.881714,1000,846.304497
-93.58889,1000,864.699639
-93.52665,1000,864.700639
-92.90695,1000,864.700639
-92.932014,1000,864.700639
-92.36558,1000,864.700639
-92.3946,1000,864.700639
-92.69988,1000,883.305828
-93.95684,1000,883.305828
-93.4202,1000,883.305828
-93.33248,1000,883.305828
-92.50852,1000,883.305828
-92.24722,1000,883.305828
-93.03051,1000,901.983033
-93.265144,1000,901.983033
-92.24722,1000,901.983033
-93.93853,1000,901.983033
-92.64622,1000,901.983033
-92.67315,1000,901.983033
